ID,StartDate,EndDate,Finished,gender,sexuality,white,black,native,asian,hispanic,multi,other,socialsci,natphysci,stem,artshum,otherstudy,gpa,fraternity,sorority,geninclus,nogreek,legacy,income,finanaid,athlevel,ideology,party,clinton,sanders,trump,vote,debt,loans,loansamt,ploans,ploansamt,sateduc,satintvol,satoffterm,housing,sexassault,greeklife,Phjob,admin,BLM,divest,theD,review,alcohol,drugs,sex,sleep,bema,centergreen,preslawn,tophop,stepshall,fiftyyard,stacks,sevennone,lous,ledyard,decade,challnone,homcome,wintercar,greenkey,sophsum,docfirst,gradstate,gradplans,gradwork,gradsalary,tenyears
R_1d50BGXbGqlDMil,5/27/2016 20:04,5/27/2016 20:06,1,2,1,1,,,,,,,,,,1,,3,,,,1,1,7,1,1,2,2,1,4,5,1,2,1,"150,000",2,,1,1,1,2,,,,,,,,,5,3,3,9,,,,,,,,1,1,,,,3,2,1,5,4,21,2,8,3,8
R_3JabSa1EwHSRJ4T,5/27/2016 20:09,5/27/2016 20:12,1,1,1,1,,,,,,,1,,,,,1,,,,1,2,8,2,4,2,3,4,2,5,1,2,2,,2,,1,4,4,3,3,3,3,3,5,1,2,3,4,1,1,10,,,,,,,,1,,,,1,4,5,2,3,1,5,2,5,3,13
R_R7WPmYrfMcw4pBn,5/27/2016 20:16,5/27/2016 20:25,1,1,1,,,,1,,,,,,1,,,3,1,,,,2,5,2,2,3,5,3,5,5,1,2,2,,2,,1,2,1,5,3,5,5,5,5,5,4,3,4,4,3,8,,,1,,,,1,,1,,,,4,3,2,1,5,32,2,4,5,2
R_a5K2gnVSrhkO3AZ,5/27/2016 20:46,5/27/2016 20:48,1,2,1,,,,1,,,,,1,,,,4,,1,,,2,3,1,1,5,7,5,5,2,2,2,2,,2,,2,2,3,4,4,4,4,4,5,5,3,1,5,5,5,9,1,,,,,,1,,1,,1,,3,4,1,2,5,5,1,1,4,1
R_1HoDAJYGpClWkrL,5/27/2016 20:51,5/27/2016 20:57,1,1,1,1,,,,,,,1,,,,,1,1,,,,2,3,1,4,2,1,1,3,5,1,1,1,"More than 20,000",2,,1,1,2,5,4,5,5,5,5,4,4,4,4,4,5,9,1,1,1,1,1,1,1,,1,,,,2,5,1,4,3,5,1,10,8,10
R_24duXHabUDM0Fp1,5/27/2016 21:15,5/27/2016 21:18,1,2,1,,,,1,,,,1,,,,,1,,,,1,2,3,1,4,4,5,2,4,4,1,2,2,,2,,1,1,2,5,3,5,5,5,4,2,2,3,4,1,5,6,1,,,1,,,1,,1,,,,2,3,1,4,5,32,2,4,6,4
R_Oqj99UHlSE9Eza9,5/27/2016 22:18,5/27/2016 22:22,1,1,1,1,,,,,,,,,,1,,5,1,,,,2,5,2,1,4,6,5,4,3,2,2,2,,2,,1,2,2,4,3,5,5,5,5,5,4,1,5,4,2,10,,,,,,,,1,,1,,,4,5,3,1,2,29,2,12,4,13
R_3GiUdmJEeNq4Mmd,5/27/2016 22:24,5/27/2016 22:29,1,2,1,1,1,,,,1,,,,1,,,5,,1,,,2,7,2,2,3,4,2,4,5,1,2,2,,2,,2,4,3,2,3,4,2,3,2,1,4,5,4,2,5,8,1,,1,1,,,1,,1,,,,4,5,3,1,2,21,2,5,3,13
R_8uhZI9BqOWdRSxj,5/27/2016 22:15,5/27/2016 22:46,1,2,1,1,,,,,,,1,,,,,6,,1,,,2,3,1,1,2,2,2,3,5,1,2,2,,2,,1,2,3,3,2,2,3,3,5,5,3,3,5,1,1,8,,,,,,,,1,1,1,1,,3,4,2,1,5,51,8,14,7,4
R_2uyWKgXLbcQL3ll,5/27/2016 22:56,5/27/2016 22:58,1,2,1,,,,1,,,,,,,1,,2,,,,1,2,2,1,4,2,2,2,2,5,1,2,2,,2,,1,2,2,3,3,3,3,2,2,3,4,4,2,1,1,8,,,,,,,,1,,,,1,2,3,5,4,1,21,1,,8,2
